Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:51:26.462,114252.0,0.02,BTCUSDT
2025-09-29 23:51:26.631,114251.9,0.001,BTCUSDT
2025-09-29 23:51:26.868,114252.0,0.001,BTCUSDT
2025-09-29 23:51:27.027,114252.0,0.018,BTCUSDT
2025-09-29 23:51:27.396,114252.0,0.02,BTCUSDT
2025-09-29 23:51:27.490,114252.0,0.031,BTCUSDT
2025-09-29 23:51:27.777,114252.0,0.001,BTCUSDT
2025-09-29 23:51:27.792,114251.9,0.001,BTCUSDT
2025-09-29 23:51:28.403,114252.0,0.02,BTCUSDT
2025-09-29 23:51:28.534,114251.9,0.052,BTCUSDT
2025-09-29 23:51:28.534,114251.9,0.001,BTCUSDT
2025-09-29 23:51:28.534,114251.9,0.001,BTCUSDT
2025-09-29 23:51:28.534,114251.9,0.001,BTCUSDT
2025-09-29 23:51:28.534,114251.9,0.001,BTCUSDT
2025-09-29 23:51:28.534,114251.9,0.028,BTCUSDT
2025-09-29 23:51:28.608,114251.9,0.012,BTCUSDT
